repo,metric,phase_pair,spearman_corr
scikit-learn,degree,pre_during,0.3238942676005137
scikit-learn,betweenness,pre_during,0.4576870442732972
scikit-learn,degree,during_post,0.5157256702858718
scikit-learn,betweenness,during_post,0.37750223377873743
pytorch,degree,pre_during,0.4438796219298196
pytorch,betweenness,pre_during,0.3011838668562665
pytorch,degree,during_post,0.7414063525297804
pytorch,betweenness,during_post,0.6787220586464858
kubernetes,degree,pre_during,0.5522955302193769
kubernetes,betweenness,pre_during,0.5618978174802739
kubernetes,degree,during_post,0.7087437442096713
kubernetes,betweenness,during_post,0.6519092756651015
apache-spark,degree,pre_during,0.31287913472697226
apache-spark,betweenness,pre_during,0.3761456924960044
apache-spark,degree,during_post,0.3262944847829255
apache-spark,betweenness,during_post,0.3869615799369117
